system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00048] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00066] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00236] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.04794] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.04802] Allegro version: 5.0.6
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.04913] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.09065] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.09071] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.09074] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.09076] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.09079] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09081] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.09084] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09086] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.09089] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09091] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.09094] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09096] Score is : 737
display  D   display_settings.c:357  _al_score_display_settings       [   0.09099] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09102] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09105] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09108] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09111] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09113] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09116] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09118] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09121] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09124] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09126] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09129] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.09132] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09134] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09137] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09139] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09142] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09144] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.09147] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.09149] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.09158] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.09166] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.09169] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.09172] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.09174] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.09177] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.09179] Score is : 609
display  D   display_settings.c:357  _al_score_display_settings       [   0.09182] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09185] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09187] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09190] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09193] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09195] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09198] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09201] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09203] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09206] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09208] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09211] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09214] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09216] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09219] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.09222] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.09224] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.09227] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.09229] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.09232] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.09234] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.09237] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.09240] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09242] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.09245] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09247] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.09250] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09252] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.09255] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09258] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.09260] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09263] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.09266] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09268] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.09271] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09273] Score is : 737
display  D   display_settings.c:357  _al_score_display_settings       [   0.09276] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09278] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09281] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09284] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09286] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09289] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09292] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09294] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09297] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09300] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09302] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09305] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09308] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09311] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09314] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09317] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09319] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09322] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09325] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09327] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09330] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.09333] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09335] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09338] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09340] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09343] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09345] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09348] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.09350] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.09353] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.09356] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.09358] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.09361] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.09364] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.09366] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.09369] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.09371] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.09374] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.09376] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.09379] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.09382] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.09384] Score is : 609
display  D   display_settings.c:357  _al_score_display_settings       [   0.09387] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09389] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09392] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09395] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09397] Single Buffer requirement not met.
