system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00057] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00071] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00207] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.03921] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.03928] Allegro version: 5.0.6
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.04007] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.07162] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07167] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07170] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07172] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07174] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07176] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07178] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07180] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07182] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07184] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07186] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07188] Score is : 737
display  D   display_settings.c:357  _al_score_display_settings       [   0.07190] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07192] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07194] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07196] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07198] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07200] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07202] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07205] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07207] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07210] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07212] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07214] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07216] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07218] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07220] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07222] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07224] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07226] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07228] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07230] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07237] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07239] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07241] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07244] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07246] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07248] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07250] Score is : 609
display  D   display_settings.c:357  _al_score_display_settings       [   0.07252] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07254] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07256] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07258] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07260] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07262] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07264] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07266] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07269] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07271] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07273] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07275] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07277] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07279] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07281] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07283] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07285] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07287] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07289] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07291] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07294] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07296] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07298] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07300] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07302] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07304] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07306] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07308] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07310] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07312] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07314] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07316] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07318] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07320] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07322] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07324] Score is : 737
display  D   display_settings.c:357  _al_score_display_settings       [   0.07326] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07329] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07331] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07333] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07335] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07337] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07339] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07341] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07344] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07346] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07348] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07350] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07352] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07354] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07356] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07358] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07360] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07363] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07365] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07367] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07369] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07371] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07373] Score is : 769
